x 	y	Regulated.Genes.225
0.646233	2.144669261	up:152
0.644135	1.970758304	up:152
0.638952	2.928121673	up:152
0.634197	1.50192665	up:152
0.632483	1.423063487	up:152
0.629517	1.970758304	up:152
0.628966	2.399334158	up:152
0.626962	1.515465278	up:152
0.626449	1.784238219	up:152
0.625488	1.800752344	up:152
0.624944	1.318981396	up:152
0.62179	2.064211693	up:152
0.619127	1.676776785	up:152
0.619082	2.928121673	up:152
0.617421	1.753981772	up:152
0.612639	1.919023766	up:152
0.611834	1.334824415	up:152
0.609808	1.817945031	up:152
0.609747	2.064211693	up:152
0.609345	1.577502084	up:152
0.609317	2.316176072	up:152
0.609315	2.193655161	up:152
0.607575	2.928121673	up:152
0.606083	2.24955255	up:152
0.602193	1.643673876	up:152
0.601451	2.316176072	up:152
0.601386	2.660838848	up:152
0.595478	2.928121673	up:152
0.594274	1.943499154	up:152
0.59424	2.928121673	up:152
0.591948	1.800752344	up:152
0.589493	2.928121673	up:152
-0.586491	2.928121673	down:73
-0.591074	1.71293989	down:73
-0.595132	2.193655161	down:73
-0.603082	2.064211693	down:73
-0.60695	1.753981772	down:73
-0.607748	2.316176072	down:73
-0.615718	2.928121673	down:73
-0.620782	1.342935538	down:73
-0.629497	2.064211693	down:73
-0.631682	2.144669261	down:73
-0.637299	1.835620373	down:73
-0.662113	2.928121673	down:73
-0.66368	2.928121673	down:73
-0.671163	2.316176072	down:73
-0.679127	1.553090208	down:73
-0.682981	2.928121673	down:73
-0.683366	1.451232351	down:73
-0.684225	2.928121673	down:73
-0.689777	1.998383095	down:73
-0.717837	2.928121673	down:73
-0.719409	1.515465278	down:73
-0.720622	2.660838848	down:73
-0.723117	2.928121673	down:73
-0.727973	1.835620373	down:73
-0.743235	1.643673876	down:73
-0.747338	2.399334158	down:73
-0.748164	2.928121673	down:73
-0.751053	2.029733573	down:73
-0.75161	2.928121673	down:73
-0.752491	2.928121673	down:73
-0.753559	1.351319023	down:73
-0.775608	1.633517273	down:73
-0.777938	2.24955255	down:73
-0.780668	2.928121673	down:73
-0.785577	1.688617036	down:73
-0.785649	2.193655161	down:73
-0.79613	2.928121673	down:73
-0.802549	2.928121673	down:73
-0.802553	1.919023766	down:73
-0.804258	1.800752344	down:73
-0.806098	2.928121673	down:73
-0.809725	1.654532166	down:73
-0.815623	2.660838848	down:73
-0.822959	2.928121673	down:73
-0.852499	2.928121673	down:73
-0.870286	2.928121673	down:73
-0.872514	2.928121673	down:73
-0.893526	1.970758304	down:73
-0.923215	2.928121673	down:73
-0.926708	2.928121673	down:73
-0.96199	2.928121673	down:73
-0.969424	1.445531435	down:73
-1.0078	2.928121673	down:73
-1.00805	2.399334158	down:73
-1.02322	1.445531435	down:73
-1.03165	2.928121673	down:73
-1.05818	2.508425414	down:73
-1.06138	2.928121673	down:73
-1.07942	2.928121673	down:73
-1.10247	2.928121673	down:73
-1.10698	2.928121673	down:73
-1.14798	2.928121673	down:73
-1.17535	1.7003293	down:73
-1.24532	2.928121673	down:73
-1.32418	1.654532166	down:73
-1.32648	1.768979208	down:73
-1.35574	2.928121673	down:73
-1.40295	2.24955255	down:73
-1.49875	2.928121673	down:73
-1.5352	2.928121673	down:73
-1.53607	2.660838848	down:73
-1.65299	2.928121673	down:73
-1.96415	2.928121673	down:73
